order_id,order_date,customer_id,customer_name,city,product_id,product_name,category,quantity,unit_price,discount_percent,payment_method,order_status
1001,2025-02-08,C318,Aman Verma,Kolkata,P105,Wheat 5kg,Clothing,1,399,0,Wallet,Returned
1002,2025-02-21,C410,Ankit Tiwari,Varanasi,P201,Jeans,Clothing,1,999,0,Card,Completed
1003,2025-01-29,C142,Nisha Patel,Lucknow,P101,Smartwatch,Electronics,3,720,0,Wallet,Completed
1004,2025-01-15,C483,Rani Verma,Indore,P103,Rice 10kg,Grocery,1,1299,12,Wallet,Completed
1005,2025-02-12,C247,Santosh Rao,Hyderabad,P101,Jeans,Grocery,1,1999,8,UPI,Completed
1006,2025-01-08,C177,Deepak Yadav,Varanasi,P205,Smartwatch,Grocery,1,1999,0,Card,Completed
1007,2025-01-21,C299,Deepak Yadav,Bhopal,P105,Trimmer,Clothing,2,399,15,UPI,Completed
1008,2025-02-08,C344,Poonam Soni,Bhopal,P104,Bluetooth Speaker,Clothing,3,1299,5,Card,Completed
1009,2025-02-27,C264,Suresh Yadav,Bhopal,P103,Jeans,Grocery,3,1999,5,Card,Cancelled
1010,2025-01-19,C168,Rani Verma,Hyderabad,P201,Power Bank,Clothing,4,799,12,Cash,Completed
1011,2025-01-23,C025,Nisha Patel,Gurgaon,P201,Rice 10kg,Electronics,3,1999,8,Wallet,Completed
1012,2025-01-11,C191,Nisha Patel,Patna,P204,Wheat 5kg,Grocery,2,799,8,UPI,Completed
1013,2025-01-11,C388,Simran Kaur,Gurgaon,P104,Rice 10kg,Electronics,3,1299,8,Cash,Completed
1014,2025-01-24,C015,Manoj Kumar,Delhi,P204,Smartwatch,Electronics,2,720,15,Card,Completed
1015,2025-02-22,C016,Rohit Kumar,Bhopal,P303,Power Bank,Grocery,2,550,15,Wallet,Completed
1016,2025-02-05,C310,Payal Gupta,Patna,P305,Power Bank,Electronics,3,260,12,UPI,Returned
1017,2025-02-09,C127,Rohit Kumar,Surat,P104,Rice 10kg,Electronics,4,1499,8,Cash,Completed
1018,2025-01-24,C267,Manoj Kumar,Hyderabad,P203,Sugar 5kg,Electronics,1,1999,8,Card,Completed
1019,2025-01-03,C028,Payal Gupta,Lucknow,P203,Cooking Oil 5L,Grocery,1,1299,0,Cash,Completed
1020,2025-01-22,C263,Imran Khan,Delhi,P102,Pulses 1kg,Grocery,3,1499,8,Card,Completed
1021,2025-02-22,C370,Karan Singh,Ranchi,P304,Pulses 1kg,Electronics,3,1999,15,Card,Completed
1022,2025-01-02,C384,Aman Verma,Indore,P205,Wheat 5kg,Grocery,2,1299,0,Wallet,Cancelled
1023,2025-01-24,C294,Vishal Kumar,Indore,P304,Earphones,Electronics,3,260,0,UPI,Completed
1024,2025-02-13,C152,Manoj Kumar,Chennai,P302,Sugar 5kg,Clothing,2,720,8,Wallet,Cancelled
1025,2025-01-30,C479,Jyoti Rani,Hyderabad,P203,Smartwatch,Electronics,4,550,5,UPI,Completed
1026,2025-02-07,C068,Simran Kaur,Ranchi,P102,Jacket,Clothing,3,1299,10,UPI,Completed
1027,2025-01-02,C037,Poonam Soni,Indore,P301,Wheat 5kg,Clothing,1,720,15,Card,Completed
1028,2025-03-01,C376,Karan Singh,Surat,P203,Cooking Oil 5L,Grocery,1,799,5,Cash,Completed
1029,2025-01-21,C035,Priya Sharma,Bhopal,P201,Jeans,Grocery,3,1999,8,UPI,Completed
1030,2025-02-02,C134,Dev Mishra,Ranchi,P303,Shirt,Grocery,2,1499,8,UPI,Completed
1031,2025-01-12,C366,Ritika Mehta,Chennai,P103,Sugar 5kg,Grocery,1,799,5,UPI,Completed
1032,2025-02-27,C161,Nisha Patel,Ranchi,P302,Sugar 5kg,Grocery,2,999,8,UPI,Completed
1033,2025-01-22,C372,Vishal Kumar,Surat,P301,Jeans,Electronics,3,799,15,Card,Cancelled
1034,2025-02-13,C224,Dheeraj Rana,Surat,P304,Jacket,Grocery,3,220,0,Wallet,Cancelled
1035,2025-01-25,C110,Anjali Singh,Hyderabad,P303,Smartwatch,Clothing,1,120,12,Cash,Completed
1036,2025-02-18,C102,Manoj Kumar,Hyderabad,P303,Cooking Oil 5L,Electronics,3,399,8,Card,Completed
